date,predicted_close
2024-01-01,486.15347
2024-01-02,486.16852
2024-01-03,486.16852
2024-01-04,486.15347
2024-01-05,486.15347
2024-01-08,486.15347
2024-01-09,486.133
2024-01-10,486.17224
2024-01-11,486.16852
2024-01-12,486.17224
2024-01-15,486.15347
2024-01-16,486.17224
2024-01-17,486.16852
2024-01-18,486.16852
2024-01-19,486.133
2024-01-22,486.15347
2024-01-23,486.21603
2024-01-24,486.16852
2024-01-25,486.23108
2024-01-26,486.16852
2024-01-29,486.21603
2024-01-30,486.16852
2024-01-31,486.133
